iter	Passed	Remaining
283	19883	50128
284	19941	50029
285	20006	49946
286	20066	49851
287	20129	49763
288	20186	49663
289	20249	49575
290	20316	49500
291	20379	49412
292	20438	49316
293	20500	49228
294	20602	49237
295	20672	49167
296	20741	49094
297	20805	49011
298	20875	48942
299	20937	48854
300	20994	48755
301	21063	48682
302	21123	48590
303	21189	48513
304	21248	48419
305	21315	48342
306	21386	48276
307	21443	48179
308	21508	48098
309	21573	48018
310	21632	47924
311	21700	47852
312	21766	47774
313	21834	47702
314	21908	47641
315	21971	47557
316	22037	47482
317	22105	47408
318	22172	47332
319	22253	47288
320	22356	47288
321	22435	47239
322	22499	47158
323	22561	47072
324	22631	47004
325	22695	46921
326	22754	46830
327	22812	46738
328	22870	46643
329	22931	46557
330	22992	46470
331	23055	46388
332	23119	46307
333	23178	46218
334	23235	46124
335	23299	46044
336	23369	45975
337	23428	45886
338	23493	45809
339	23556	45727
340	23624	45656
341	23694	45587
342	23753	45497
343	23823	45431
344	23882	45342
345	23943	45256
346	24008	45179
347	24072	45101
348	24133	45016
349	24189	44922
350	24252	44842
351	24322	44775
352	24389	44701
353	24450	44619
354	24509	44531
355	24572	44450
356	24642	44383
357	24716	44323
358	24778	44242
359	24848	44174
360	24910	44092
361	24969	44006
362	25042	43944
363	25120	43892
364	25202	43844
365	25284	43799
366	25366	43752
367	25429	43672
368	25490	43589
369	25556	43514
370	25626	43447
371	25687	43365
372	25792	43355
373	25921	43387
374	26063	43439
375	26128	43361
376	26189	43278
377	26276	43237
378	26399	43256
379	26502	43240
380	26585	43192
381	26664	43138
382	26736	43071
383	26815	43015
384	26889	42952
385	26960	42884
386	27029	42813
387	27099	42744
388	27159	42659
389	27224	42581
390	27286	42499
391	27362	42440
392	27433	42371
393	27494	42288
394	27559	42210
395	27636	42153
396	27716	42098
397	27793	42039
398	27864	41970
399	27932	41899
